
#,Team,Score
332,jfk3,400
333,riprap,400
334,outinikaeritai,400
335,musipan,400
336,rektsec,400
337,Matsuyama,400
338,espresso,390
339,phone,390
340,wizard of skn,390
341,Jester,390
342,G-Dragon Rider,380
343,Bobby Table,370
344,HackU,370
345,4815162342,360
346,sudo_win,360
347,zalzer,360
348,zonda,360
349,ISPTITHCM,360
350,cez40,360
351,vomit,360
352,crtl,360
353,SecNinjas,350
354,slacker,340
355,eipiplus1equals0,340
356,jobert,340
357,sally_ch,340
358,peakchaos,340
359,DFCI,330
360,Hopjesvla,330
361,Hackers With Attitudes,320
362,c3ret,320
363,usr1337,320
364,GMURED,320
365,KerKerYuan,320
366,MATH,310
367,poppycompass,310
368,sharknado,310
369,marche147,310
370,theheavyhorse,310
371,koibasta,300
372,ASIS,300
373,taurus,300
374,New Generations,300
375,xingliang,300
376,tomyxy,300
377,hfxctf,300
378,fuffateam,300
379,Aaditya Purani,300
380,test1,300
381,805,300
382,kwazi,290
383,wirabdillah,290
384,nearffxx,290
385,On3_Touch,290
386,mmk21,290
387,K17,280
388,CSI,280
389,Vulturii,280
390,KuBik,280
391,PureCadence,280
392,unreadable,270
393,006,270
394,KXTI1,270
395,annabelle,270
396,mcalik,260
397,b1uez.m0nkeyz,260
398,WEDEMBOYZ,260
399,ranked,260
400,kod0kk,260
401,Hawks,260
402,sutech,260
403,M13mp18,260
404,MandSVstW,260
405,CyberPunk,260
406,N51,250
407,0xnull,250
408,gabbar,250
409,hack_toute,250
410,Hatsu,250
411,buscoequipo,250
412,trent,250
413,FF,240
414,evenme2014,240
415,kambi,240
416,SmallCute,240
417,Wolf_Pack,240
418,ovProphet,240
419,dpnz,240
420,b1n4ry4rms,240
421,maya,240
422,v0rt3x,240
423,jcfg,230
424,DrKiLlEr,230
425,cRUcible,230
426,PWN STARS,230
427,sorcier,230
428,gator,230
429,g4rc1,230
430,Algo,230
431,CaptainTed,230
432,low privs high hopes,230
433,TNC,230
434,555,230
435,agkunkle,220
436,shinichikudo_1212,220
437,splarcit,210
438,Stack,210
439,_try,210
440,G04tzZZ,210
441,shubs,210
442,mosabelhag,210
443,whoami,210
444,dwigtsr00t,200
445,Team web01,200
446,miuna_30,200
447,s_show,200
448,Safflower,190
449,virusdefender,190
450,drdr,180
451,marcs0h,180
452,____,180
453,soluna,180
454,Merricx,180
455,1337egy,180
456,packzigzag,180
457,gambite,180
458,hedgehog,180
459,Sudo_root,180
460,minhty123,180
461,NTHU_nobody,180
462,m0rl,180
463,zongsjs,180
464,jpwn,180
465,NeOLux-C1Ph3r,180
466,hockhung48,180
467,Team Tea,180
468,Robyn,180
469,deleted_team,180
470,badTeam,180
471,dam,180
472,Tungsten,180
473,syndicus,180
474,ccccc,170
475,keylimepie,170
476,lolnoob,170
477,null,170
478,Against All Authority,170
479,Dam flud la dusmani,170
480,Spam0days,160
481,4then4,160
482,Yacine_101,160
483,pr0_p0wn,160
484,zp,160
485,soom,160
486,Tourista,160
487,qwere36,160
488,lethal_hosts,150
489,shiplem3,150
490,nopster,150
491,smp,150
492,htaccess,150
493,X41,140
494,GrumpySnowWhite,140
495,tester1,140
496,SecSec,140
497,m0ksh4,140
498,Indigo02,140
499,smlight,140
500,Sherlock In Our Holmes,140
501,timur123,140
502,cylarcy,130
503,gtn_code,130
504,NL_StartUp,130
505,mreyhanli,130
506,kouklos,130
507,akrutsinger,130
508,MonoMini,130
509,gosha,130
510,zaq,130
511,Tantra,130
512,reooo43,120
513,Y3Rp,120
514,Add3r,120
515,blacksmith96,120
516,nusgreyhats,120
517,In3omnia,120
518,275o,120
519,TmTs,120
520,danielchatfield,120
521,cesi0_,120
522,Bulletproof,120
523,W0b3K4,120
524,nitro2k16,120
525,GinVlad,120
526,microteam,120
527,Fu1lSp1dAtk,110
528,rik,110
529,pony7,110
530,spreadfame,110
531,Dangermani,110
532,PandarIST,110
533,lxf42,110
534,MSTA,110
535,flagger,110
536,satpamSC,110
537,perezagruzka,110
538,biffski,110
539,Jatana,110
540,BYTE,110
541,__CanarySec,110
542,SHSEC,110
543,yupdatthrowaway,110
544,Hitch,110
545,kivusec,110
546,boom,110
547,hoang,110
548,skpanchal,110
549,Alamina,110
550,luanthien97,110
551,boundless,110
552,chenyuan,100
553,Crash_and_Burn,100
554,Aruneko,90
555,phil,90
556,testr,90
557,0x4e75726f6b0d0a,90
558,JGC1,90
559,test,90
560,Alik,90
561,rotors,80
562,mathboy7,80
563,aint,80
564,ragnar,80
565,0x22,70
566,hy00un,70
567,mov0esp,70
568,passage,70
569,lisek_,70
570,SupCTF,70
571,0x70776e,70
572,ivachyou,70
573,nideff,70
574,xor,70
575,zongsjs,70
576,kirill,70
577,quantumCookie,70
578,daguy666,70
579,Occupe,70
580,hama,70
581,bladiebla,70
